,Merge,Conf_files,Conf_javas,Conf_details,Loc,Block,Loc_details
0,9d930f996e6d31820e201f4eb7dd7bf11127f932,1,1,['services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java'],155,1,[155]
1,a5464e4c3f2a28630d99d1d7996bd3c41ec2877f,1,1,['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java'],6,1,[6]
2,0c8853114de7dfb1921fc183857a341b40c4b20e,85,0,[],0,0,[]
3,10e300d48682ac576ead42e0f216976fa8847033,1,1,['packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationModeController.java'],0,1,[0]
4,05fa7e2c3e169e955e815187e15fd141fe9aa95b,1,1,['services/core/java/com/android/server/policy/PhoneWindowManager.java'],3,1,[3]
5,09f6943068695f12f8f624668cbff7572dfa6053,1,1,['core/java/com/android/internal/util/ScreenshotHelper.java'],13,2,[13]
6,3a6c4af35c60db2b635f8f4c414b6c921a80a293,1,1,['packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java'],2,1,[2]
7,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,28,27,"['services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java', 'packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java', 'packages/SystemUI/src/com/android/systemui/statusbar/NotificationShelf.java', 'packages/SystemUI/src/com/android/systemui/classifier/FalsingManagerProxy.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java', 'services/core/java/com/android/server/pm/Settings.java', 'services/core/java/com/android/server/UiModeManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotificationEntry.java', 'services/core/java/com/android/server/pm/PackageManagerService.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeFactory.java', 'packages/SystemUI/src/com/android/systemui/glwallpaper/ImageRevealHelper.java', 'packages/SystemUI/src/com/android/systemui/classifier/brightline/ProximityClassifier.java', 'services/core/java/com/android/server/pm/PackageInstallerSession.java', 'services/core/java/com/android/server/wallpaper/WallpaperManagerService.java', 'packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardSliceProviderTest.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java', 'packages/SystemUI/src/com/android/systemui/ImageWallpaper.java', 'services/core/java/com/android/server/appop/AppOpsService.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java', 'packages/SystemUI/tests/src/com/android/systemui/appops/AppOpsControllerTest.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/BiometricUnlockController.java', 'packages/SystemUI/src/com/android/systemui/glwallpaper/ImageWallpaperRenderer.java', 'packages/SystemUI/src/com/android/systemui/classifier/brightline/BrightLineFalsingManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/StackScrollAlgorithm.java']",263,56,"[26, 55, 10, 3, 10, 1, 18, 5, 23, 11, 4, 3, 0, 3, 18, 2, 1, 1, 10, 16, 4, 5, 13, 0, 9, 11, 1]"
8,f67897bc05520f743974fc397aa96e4049a057b3,12,9,"['services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java', 'services/core/java/com/android/server/input/InputManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarTransitions.java', 'packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeScreenBrightness.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java', 'services/core/java/com/android/server/NetworkManagementService.java', 'services/core/java/com/android/server/BluetoothManagerService.java']",112,14,"[26, 3, 8, 53, 2, 9, 3, 1, 7]"
9,721f892272f7a01a7b3d4db7cefd8943acbb8a01,1,1,['services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java'],44,2,[44]
10,619b6be348da0cfbb30a2d5a472a22cb462f2d6e,2,2,"['packages/SystemUI/tests/src/com/android/systemui/appops/AppOpsControllerTest.java', 'packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java']",15,2,"[13, 2]"
11,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,10,8,"['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'telephony/java/android/telephony/ServiceState.java', 'core/java/android/provider/Settings.java', 'services/core/java/com/android/server/pm/UserManagerService.java', 'services/core/java/com/android/server/policy/PhoneWindowManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java', 'packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java', 'tests/net/java/android/net/netlink/InetDiagSocketTest.java']",73,16,"[26, 1, 8, 1, 1, 6, 30, 0]"
